City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,san agustin acasaguastlan,14.95,-89.9667,75.16,94,77,2.55,GT,1621665981
307,komsomolskiy,40.4272,71.7189,83.12,23,51,4.61,UZ,1621665981
308,grand gaube,-20.0064,57.6608,76.37,60,74,10.0,MU,1621665982
309,ayan,56.45,138.1667,35.4,96,100,8.46,RU,1621665982
310,pringsewu,-5.3582,104.9744,86.76,67,67,1.52,ID,1621665983
311,souillac,-20.5167,57.5167,76.35,60,40,18.72,MU,1621665983
312,chatra,24.2167,84.8667,87.78,27,89,8.61,IN,1621665984
313,astoria,46.1879,-123.8313,51.69,80,90,10.36,US,1621665984
314,tessalit,20.1986,1.0114,89.98,25,30,5.53,ML,1621665985
315,marystown,47.1666,-55.1483,46.4,83,73,11.39,CA,1621665969
316,roma,43.2128,-75.4557,69.66,85,1,0.0,US,1621665985
317,zaysan,47.4667,84.8667,60.87,45,71,8.01,KZ,1621665986
318,port hardy,50.6996,-127.4199,48.38,93,90,2.3,CA,1621665733
319,bereda,43.2686,-7.5406,50.41,88,100,5.35,ES,1621665986
320,turka,49.1541,23.0297,59.79,62,100,17.16,UA,1621665987
321,hamirpur,25.95,80.15,99.52,27,0,7.36,IN,1621665987
322,petropavlovsk-kamchatskiy,53.0452,158.6483,59.59,40,7,11.25,RU,1621665849
323,chicama,-7.8447,-79.1469,63.72,87,45,4.61,PE,1621665988
324,zhanaozen,43.3,52.8,97.32,10,0,16.73,KZ,1621665989
325,monywa,22.1167,95.1333,104.67,29,5,7.76,MM,1621665989
326,grindavik,63.8424,-22.4338,37.87,58,0,15.14,IS,1621665989
327,pindwara,24.8,73.0667,98.17,23,0,11.95,IN,1621665990
328,oum hadjer,13.2954,19.6966,93.18,35,49,15.5,TD,1621665990
329,verkhoyansk,67.5447,133.385,47.26,35,100,7.34,RU,1621665991
330,tilichiki,60.4667,166.1,32.99,95,100,6.58,RU,1621665991
331,pacific grove,36.6177,-121.9166,53.28,86,34,4.0,US,1621665846
332,liverpool,53.4106,-2.9779,47.68,78,100,1.99,GB,1621665910
333,digby,44.6169,-65.7655,54.55,79,100,10.78,CA,1621665992
334,qinhuangdao,39.9317,119.5883,76.41,56,13,18.01,CN,1621665993
335,bud,39.447,-86.1758,64.38,85,100,5.3,US,1621665993
336,awjilah,29.1081,21.2869,73.78,36,0,11.48,LY,1621665994
337,palasa,18.7667,84.4167,91.63,56,76,7.0,IN,1621665994
338,laguna,38.421,-121.4238,59.29,73,1,7.25,US,1621665994
339,balkanabat,39.5108,54.3671,100.72,9,0,18.88,TM,1621665995
340,katsuura,35.1333,140.3,69.91,82,100,22.88,JP,1621665995
341,abbeville,50.1,1.8333,51.76,91,100,23.02,FR,1621665996
342,mahon,39.8885,4.2658,63.16,94,40,13.8,ES,1621665996
343,priamurskiy,48.5217,134.9028,82.81,43,100,7.65,RU,1621665997
344,ostrovnoy,68.0531,39.5131,40.1,91,100,7.11,RU,1621665997
345,matara,5.9485,80.5353,83.79,79,82,12.46,LK,1621665997
346,clifton,40.8584,-74.1638,69.58,69,40,0.0,US,1621665998
347,goderich,43.7501,-81.7165,68.32,64,100,4.61,CA,1621665910
348,port keats,-14.25,129.55,85.17,44,86,9.51,AU,1621665998
349,ullapool,57.8987,-5.1604,46.76,77,96,7.78,GB,1621665999
350,formosa,-26.1775,-58.1781,64.38,82,40,4.61,AR,1621665894
351,bucerias,20.75,-105.3333,76.98,84,6,3.13,MX,1621665914
352,nhulunbuy,-12.2333,136.7667,79.41,83,90,13.8,AU,1621666000
353,haimen,23.1935,116.6142,93.09,67,7,16.22,CN,1621666000
354,ler,8.3018,30.1418,89.55,46,25,3.69,SS,1621666000
355,gediz,39.0417,29.41,53.26,70,74,6.62,TR,1621666001
356,dergachi,51.2328,48.7659,83.79,30,100,22.21,RU,1621666001
357,bubaque,11.2833,-15.8333,77.32,79,100,7.16,GW,1621666002
358,namatanai,-3.6667,152.4333,84.09,75,38,6.42,PG,1621666002
359,rocha,-34.4833,-54.3333,57.33,96,100,21.09,UY,1621665866
360,college,64.8569,-147.8028,55.38,49,75,5.75,US,1621666003
361,puerto del rosario,28.5004,-13.8627,69.55,73,20,17.27,ES,1621666004
362,vila franca do campo,37.7167,-25.4333,57.61,70,61,14.5,PT,1621666004
363,huambo,-12.7761,15.7392,60.3,54,5,5.39,AO,1621666005
364,tukrah,32.5341,20.5791,68.43,57,0,11.16,LY,1621666005
365,bambanglipuro,-7.95,110.2833,84.0,72,70,13.35,ID,1621666005
366,itarema,-2.9248,-39.9167,74.91,92,22,10.0,BR,1621666006
367,san miguel,13.4833,-88.1833,75.79,92,32,2.24,SV,1621666006
368,zhangjiakou,40.81,114.8794,88.52,15,100,18.14,CN,1621666007
369,saint simons,31.1352,-81.3901,73.44,83,90,12.66,US,1621665946
370,walvis bay,-22.9575,14.5053,72.55,30,0,10.89,NA,1621666007
371,sidney,-33.8679,151.2073,64.31,76,20,1.99,AU,1621665971
372,nogales,31.3086,-110.9422,66.69,24,1,4.47,MX,1621666008
373,okhotsk,59.3833,143.3,38.98,71,100,6.82,RU,1621666009
374,alice springs,-23.7,133.8833,76.55,21,0,11.99,AU,1621665876
375,kabare,-2.4683,28.8242,68.76,87,5,2.48,CD,1621666009
376,longyearbyen,78.2186,15.6401,24.64,63,75,6.91,SJ,1621665902
377,myanaung,18.2833,95.3167,102.69,29,41,10.65,MM,1621666010
378,saint andrews,34.0454,-81.1293,62.29,76,1,2.53,US,1621666010
379,necochea,-38.5473,-58.7368,56.03,73,100,11.34,AR,1621666011
380,west bay,19.3667,-81.4167,79.0,93,100,1.99,KY,1621666011
381,sao felix do xingu,-6.6447,-51.995,70.16,96,22,1.1,BR,1621666011
382,pervomayskiy,53.2485,40.2871,60.46,65,100,7.27,RU,1621666012
383,lagos,6.5833,3.75,77.32,83,100,6.29,NG,1621665951
384,opuwo,-18.0607,13.84,65.84,34,0,11.01,NA,1621666012
385,rundu,-17.9333,19.7667,64.27,37,1,10.31,NA,1621666013
